cidade,ano,estado,regiao,taxa_deposito,pib,pib_percapita,saude,saude_percapita,endividamento,idade_media,populacao,spread,id
Lao PDR,7/1/00 0:00,Asia,,12,$1.73B,$0.3K,3,$0.0B,32,61,"5,317,060",20,60
Pakistan,7/1/00 0:00,Asia,,,$73.95B,$0.5K,3,$0.0B,,63,"144,522,192",,61
Bangladesh,7/1/00 0:00,Asia,,9,$47.12B,$0.4K,3,$0.0B,16,65,"129,592,275",7,62
Philippines,7/1/00 0:00,Asia,,8,$81.03B,$1.0K,3,$0.0B,11,67,"77,309,965",3,63
Malaysia,7/1/00 0:00,Asia,,3,$93.79B,$4.0K,3,$0.0B,8,72,"23,414,909",5,64
Thailand,7/1/00 0:00,Asia,,3,$122.73B,$1.9K,3,$0.0B,8,73,"63,155,029",5,65
Brunei Darussalam,7/1/00 0:00,Asia,,,$6.00B,$18.4K,3,$0.0B,6,76,"327,036",,66
Singapore,7/1/00 0:00,Asia,,2,$95.92B,$23.8K,3,$0.0B,6,78,"4,027,900",4,67
Turkmenistan,7/1/00 0:00,Asia,,,$2.90B,$0.6K,4,$0.0B,,64,"4,501,419",,68
Kazakhstan,7/1/00 0:00,Asia,,,$18.29B,$1.2K,4,$0.0B,,66,"14,883,626",,69
Sri Lanka,7/1/00 0:00,Asia,,9,$16.33B,$0.9K,4,$0.0B,16,71,"19,102,000",7,70
India,7/1/00 0:00,Asia,,,$474.69B,$0.5K,5,$0.0B,12,62,"1,053,898,107",,71
Nepal,7/1/00 0:00,Asia,,6,$5.49B,$0.2K,5,$0.0B,9,62,"24,400,606",3,72
Mongolia,7/1/00 0:00,Asia,,17,$1.14B,$0.5K,5,$0.0B,37,63,"2,411,369",20,73
Tajikistan,7/1/00 0:00,Asia,,1,$0.86B,$0.1K,5,$0.0B,26,64,"6,172,807",25,74
Azerbaijan,7/1/00 0:00,Asia,,13,$5.27B,$0.7K,5,$0.0B,20,67,"8,048,600",7,75
Kyrgyz Republic,7/1/00 0:00,Asia,,18,$1.37B,$0.3K,5,$0.0B,52,69,"4,898,400",34,76
China,7/1/00 0:00,Asia,,2,"$1,198.47B",$0.9K,5,$0.0B,6,71,"1,262,645,000",4,77
Vietnam,7/1/00 0:00,Asia,,4,$31.17B,$0.4K,5,$0.0B,11,72,"77,630,900",7,78
"Korea, Rep.",7/1/00 0:00,Asia,,8,$533.38B,$11.3K,5,$0.0B,9,76,"47,008,000",1,79
Cambodia,7/1/00 0:00,Asia,,7,$3.65B,$0.3K,6,$0.0B,,57,"12,446,949",,80
Uzbekistan,7/1/00 0:00,Asia,,,$13.76B,$0.6K,6,$0.0B,,67,"24,650,400",,81
Bhutan,7/1/00 0:00,Asia,,8,$0.43B,$0.7K,7,$0.0B,16,61,"571,262",8,82
Armenia,7/1/00 0:00,Asia,,18,$1.91B,$0.6K,7,$0.0B,32,71,"3,076,098",14,83
Georgia,7/1/00 0:00,Asia,,10,$3.06B,$0.7K,7,$0.0B,33,72,"4,418,300",23,84
Afghanistan,7/1/00 0:00,Asia,,,,,8,$0.0B,,45,"25,950,816",,85
Timor-Leste,7/1/00 0:00,Asia,,,$0.32B,$0.4K,8,$0.0B,,56,"830,089",,86
Japan,7/1/00 0:00,Asia,,0,"$4,731.20B",$37.3K,8,$0.0B,2,81,"126,870,000",2,87
Maldives,7/1/00 0:00,Asia,,7,$0.62B,$2.3K,9,$0.0B,13,70,"273,236",6,88
Estonia,7/1/00 0:00,Europe,European Union,4,$5.68B,$4.1K,5,$0.0B,7,70,"1,369,515",3,89
Romania,7/1/00 0:00,Europe,European Union,33,$37.05B,$1.7K,5,$0.0B,54,71,"22,442,971",21,90
Latvia,7/1/00 0:00,Europe,European Union,4,$7.83B,$3.3K,6,$0.0B,12,70,"2,372,985",8,91
Bulgaria,7/1/00 0:00,Europe,European Union,3,$12.90B,$1.6K,6,$0.0B,11,72,"8,170,172",8,92
Lithuania,7/1/00 0:00,Europe,European Union,4,$11.43B,$3.3K,6,$0.0B,12,72,"3,499,536",8,93
Poland,7/1/00 0:00,Europe,European Union,14,$171.28B,$4.5K,6,$0.0B,20,74,"38,453,757",6,94
Ireland,7/1/00 0:00,Europe,European Union,0,$97.52B,$25.6K,6,$0.0B,5,77,"3,805,174",5,95
Cyprus,7/1/00 0:00,Europe,European Union,7,$9.31B,$13.4K,6,$0.0B,8,78,"943,294",1,96
Hungary,7/1/00 0:00,Europe,European Union,9,$46.39B,$4.5K,7,$0.0B,13,71,"10,210,971",4,97
Slovak Republic,7/1/00 0:00,Europe,European Union,8,$28.72B,$5.3K,7,$0.0B,15,73,"5,388,720",7,98
Czech Republic,7/1/00 0:00,Europe,European Union,3,$58.81B,$5.7K,7,$0.0B,7,75,"10,272,322",4,99
Finland,7/1/00 0:00,Europe,European Union,2,$121.79B,$23.5K,7,$0.0B,6,77,"5,176,209",4,100
Luxembourg,7/1/00 0:00,Europe,European Union,,$20.27B,$46.5K,7,$0.0B,,78,"436,300",,101
United Kingdom,7/1/00 0:00,Europe,European Union,,"$1,477.20B",$25.1K,7,$0.0B,6,78,"58,892,514",,102
Malta,7/1/00 0:00,Europe,European Union,5,$3.96B,$10.4K,7,$0.0B,7,78,"381,363",2,103
Spain,7/1/00 0:00,Europe,European Union,3,$580.35B,$14.4K,7,$0.0B,5,79,"40,263,216",2,104
Slovenia,7/1/00 0:00,Europe,European Union,10,$19.98B,$10.0K,8,$0.0B,16,75,"1,988,925",6,105
Denmark,7/1/00 0:00,Europe,European Union,3,$160.08B,$30.0K,8,$0.0B,8,77,"5,339,616",5,106
Netherlands,7/1/00 0:00,Europe,European Union,3,$385.07B,$24.2K,8,$0.0B,5,78,"15,925,513",2,107
Greece,7/1/00 0:00,Europe,European Union,6,$124.42B,$11.4K,8,$0.0B,12,78,"10,917,482",6,108
Italy,7/1/00 0:00,Europe,European Union,2,"$1,104.01B",$19.4K,8,$0.0B,7,79,"56,942,108",5,109
Sweden,7/1/00 0:00,Europe,European Union,2,$247.26B,$27.9K,8,$0.0B,6,80,"8,872,109",4,110
Portugal,7/1/00 0:00,Europe,European Union,,$117.30B,$11.5K,9,$0.0B,,76,"10,225,836",,111
Belgium,7/1/00 0:00,Europe,European Union,4,$232.67B,$22.7K,9,$0.0B,8,78,"10,251,250",4,112
Austria,7/1/00 0:00,Europe,European Union,,$192.07B,$24.0K,10,$0.0B,,78,"8,011,566",,113
Germany,7/1/00 0:00,Europe,European Union,3,"$1,886.40B",$22.9K,10,$0.0B,10,78,"82,211,508",7,114
France,7/1/00 0:00,Europe,European Union,3,"$1,326.33B",$21.8K,10,$0.0B,7,79,"60,910,922",4,115
Isle of Man,7/1/00 0:00,Europe,Independent,,$1.56B,$20.4K,,,,,"76,803",,116
Liechtenstein,7/1/00 0:00,Europe,Independent,,$2.48B,$75.6K,,,,,"32,853",,117
Kosovo,7/1/00 0:00,Europe,Independent,,$1.85B,$1.1K,,,,68,"1,700,000",,118
Faeroe Islands,7/1/00 0:00,Europe,Independent,,$1.06B,$23.2K,,,,79,"45,743",,119
Monaco,7/1/00 0:00,Europe,Independent,,$2.65B,$75.4K,3,$0.0B,,,"35,126",,120
Russian Federation,7/1/00 0:00,Europe,Independent,7,$259.71B,$1.8K,5,$0.0B,24,65,"146,303,000",17,121
Turkey,7/1/00 0:00,Europe,Independent,47,$266.57B,$4.2K,5,$0.0B,,69,"63,627,862",,122
Moldova,7/1/00 0:00,Europe,Independent,25,$1.29B,$0.4K,6,$0.0B,34,67,"3,639,588",9,123
Ukraine,7/1/00 0:00,Europe,Independent,14,$31.26B,$0.6K,6,$0.0B,42,68,"49,175,848",28,124
Belarus,7/1/00 0:00,Europe,Independent,38,$12.74B,$1.3K,6,$0.0B,68,69,"10,005,000",30,125
Albania,7/1/00 0:00,Europe,Independent,8,$3.69B,$1.2K,6,$0.0B,22,74,"3,071,856",14,126
Serbia,7/1/00 0:00,Europe,Independent,79,$6.08B,$0.8K,7,$0.0B,6,72,"7,516,346",-73,127
Bosnia and Herzegovina,7/1/00 0:00,Europe,Independent,15,$5.51B,$1.5K,7,$0.0B,31,74,"3,693,698",16,128
Andorra,7/1/00 0:00,Europe,Independent,,$1.13B,$17.5K,8,$0.0B,,,"64,634",,129
Croatia,7/1/00 0:00,Europe,Independent,4,$21.52B,$4.9K,8,$0.0B,12,73,"4,426,000",8,130
Montenegro,7/1/00 0:00,Europe,Independent,,$0.98B,$1.6K,8,$0.0B,,75,"632,606",,131
Norway,7/1/00 0:00,Europe,Independent,7,$168.29B,$37.5K,8,$0.0B,9,79,"4,490,967",2,132
San Marino,7/1/00 0:00,Europe,Independent,3,$0.77B,$28.7K,8,$0.0B,9,81,"26,967",6,133
"Macedonia, FYR",7/1/00 0:00,Europe,Independent,11,$3.59B,$1.8K,9,$0.0B,19,73,"2,009,091",8,134
Switzerland,7/1/00 0:00,Europe,Independent,3,$249.92B,$34.8K,10,$0.0B,4,80,"7,184,250",1,135
Iceland,7/1/00 0:00,Europe,Independent,11,$8.70B,$30.9K,10,$0.0B,17,80,"281,205",6,136
Iraq,7/1/00 0:00,Middle East,,,$25.86B,$1.1K,1,$0.0B,,71,"24,313,641",,137
Qatar,7/1/00 0:00,Middle East,,,$17.76B,$30.1K,2,$0.0B,,76,"590,957",,138
Kuwait,7/1/00 0:00,Middle East,,6,$37.72B,$19.4K,3,$0.0B,9,74,"1,940,786",3,139
Oman,7/1/00 0:00,Middle East,,8,$19.87B,$8.8K,3,$0.0B,10,74,"2,264,163",2,140
United Arab Emirates,7/1/00 0:00,Middle East,,6,$104.34B,$34.4K,3,$0.0B,10,75,"3,033,491",4,141
"Yemen, Rep.",7/1/00 0:00,Middle East,,14,$9.64B,$0.5K,4,$0.0B,20,60,"17,723,186",6,142
Saudi Arabia,7/1/00 0:00,Middle East,,,$188.44B,$9.4K,4,$0.0B,,71,"20,045,276",,143
Bahrain,7/1/00 0:00,Middle East,,6,$7.97B,$12.5K,4,$0.0B,12,74,"638,193",6,144
"Iran, Islamic Rep.",7/1/00 0:00,Middle East,,,$101.29B,$1.6K,5,$0.0B,,70,"65,342,319",,145
Syrian Arab Republic,7/1/00 0:00,Middle East,,4,$19.33B,$1.2K,5,$0.0B,9,74,"15,988,534",5,146
Israel,7/1/00 0:00,Middle East,,9,$124.90B,$19.9K,7,$0.0B,13,79,"6,289,000",4,147
Jordan,7/1/00 0:00,Middle East,,7,$8.46B,$1.8K,10,$0.0B,12,72,"4,797,500",5,148
Lebanon,7/1/00 0:00,Middle East,,11,$17.26B,$4.6K,11,$0.0B,18,71,"3,742,329",7,149
American Samoa,7/1/00 0:00,Oceania,,,,,,,,,"57,625",,150
French Polynesia,7/1/00 0:00,Oceania,,,$3.45B,$14.5K,,,,72,"237,638",,151
Guam,7/1/00 0:00,Oceania,,,,,,,,74,"155,147",,152
New Caledonia,7/1/00 0:00,Oceania,,,$2.68B,$12.6K,,,,75,"213,230",,153
Papua New Guinea,7/1/00 0:00,Oceania,,8,$3.52B,$0.7K,4,$0.0B,18,59,"5,378,824",10,154
Vanuatu,7/1/00 0:00,Oceania,,1,$0.27B,$1.5K,4,$0.0B,10,68,"185,074",9,155
Fiji,7/1/00 0:00,Oceania,,3,$1.68B,$2.1K,4,$0.0B,8,68,"811,718",5,156
Solomon Islands,7/1/00 0:00,Oceania,,3,$0.44B,$1.1K,5,$0.0B,15,63,"408,732",12,157
Samoa,7/1/00 0:00,Oceania,,,$0.25B,$1.4K,6,$0.0B,,69,"176,549",,158
Tonga,7/1/00 0:00,Oceania,,5,$0.19B,$1.9K,6,$0.0B,11,71,"97,935",6,159
Kiribati,7/1/00 0:00,Oceania,,,$0.07B,$0.8K,8,$0.0B,,60,"84,010",,160
"Micronesia, Fed. Sts.",7/1/00 0:00,Oceania,,5,$0.23B,$2.2K,8,$0.0B,15,67,"107,103",10,161
Australia,7/1/00 0:00,Oceania,,5,$416.89B,$21.8K,8,$0.0B,9,79,"19,153,000",4,162
New Zealand,7/1/00 0:00,Oceania,,6,$51.60B,$13.4K,8,$0.0B,8,79,"3,857,800",2,163
Marshall Islands,7/1/00 0:00,Oceania,,,$0.11B,$2.1K,20,$0.0B,,65,"52,145",,164
Cayman Islands,7/1/00 0:00,The Americas,Caribbean,,,,,,,,"40,195",,165
Curacao,7/1/00 0:00,The Americas,Caribbean,,,,,,,,"133,860",,166
Sint Maarten (Dutch part),7/1/00 0:00,The Americas,Caribbean,,,,,,,,"30,519",,167
St. Martin (French part),7/1/00 0:00,The Americas,Caribbean,,,,,,,,"28,384",,168
Turks and Caicos Islands,7/1/00 0:00,The Americas,Caribbean,,,,,,,,"18,873",,169
Aruba,7/1/00 0:00,The Americas,Caribbean,6,$1.86B,$20.6K,,,12,74,"90,271",6,170
Puerto Rico,7/1/00 0:00,The Americas,Caribbean,,$61.70B,$16.2K,,,,77,"3,810,605",,171
Virgin Islands (U.S.),7/1/00 0:00,The Americas,Caribbean,,,,,,,78,"108,639",,172
Trinidad and Tobago,7/1/00 0:00,The Americas,Caribbean,8,$8.15B,$6.3K,4,$0.0B,17,68,"1,292,058",9,173
St. Kitts and Nevis,7/1/00 0:00,The Americas,Caribbean,4,$0.38B,$8.6K,5,$0.0B,11,,"44,286",7,174
Antigua and Barbuda,7/1/00 0:00,The Americas,Caribbean,5,$0.80B,$10.3K,5,$0.0B,12,,"77,656",7,175
Jamaica,7/1/00 0:00,The Americas,Caribbean,12,$9.01B,$3.5K,5,$0.0B,23,70,"2,589,389",11,176
St. Lucia,7/1/00 0:00,The Americas,Caribbean,5,$0.72B,$4.6K,5,$0.0B,13,71,"155,996",8,177
Dominica,7/1/00 0:00,The Americas,Caribbean,4,$0.33B,$4.7K,6,$0.0B,12,,"69,672",8,178
Haiti,7/1/00 0:00,The Americas,Caribbean,12,$3.66B,$0.4K,6,$0.0B,31,58,"8,645,371",19,179
St. Vincent and the Grenadines,7/1/00 0:00,The Americas,Caribbean,5,$0.40B,$3.7K,6,$0.0B,11,70,"107,891",6,180
Dominican Republic,7/1/00 0:00,The Americas,Caribbean,18,$24.00B,$2.8K,6,$0.0B,27,71,"8,591,967",9,181
"Bahamas, The",7/1/00 0:00,The Americas,Caribbean,4,$6.33B,$21.3K,6,$0.0B,6,72,"297,651",2,182
Grenada,7/1/00 0:00,The Americas,Caribbean,4,$0.52B,$5.1K,6,$0.0B,12,73,"101,522",8,183
Barbados,7/1/00 0:00,The Americas,Caribbean,5,$2.56B,$9.6K,6,$0.0B,10,75,"267,511",5,184
Cuba,7/1/00 0:00,The Americas,Caribbean,,$30.57B,$2.8K,7,$0.0B,,76,"11,104,313",,185
Belize,7/1/00 0:00,The Americas,Central America,8,$0.83B,$3.3K,4,$0.0B,16,74,"249,800",8,186
Honduras,7/1/00 0:00,The Americas,Central America,16,$7.11B,$1.1K,5,$0.0B,27,70,"6,218,151",11,187
Mexico,7/1/00 0:00,The Americas,Central America,8,$581.43B,$5.8K,5,$0.0B,17,74,"99,959,594",9,188
Guatemala,7/1/00 0:00,The Americas,Central America,10,$19.29B,$1.7K,6,$0.0B,21,68,"11,237,101",11,189
Nicaragua,7/1/00 0:00,The Americas,Central America,11,$3.94B,$0.8K,7,$0.0B,18,70,"5,073,704",7,190
Costa Rica,7/1/00 0:00,The Americas,Central America,13,$15.95B,$4.1K,7,$0.0B,25,78,"3,919,180",12,191
El Salvador,7/1/00 0:00,The Americas,Central America,9,$13.13B,$2.2K,8,$0.0B,14,70,"5,940,305",5,192
Panama,7/1/00 0:00,The Americas,Central America,7,$11.62B,$3.9K,8,$0.0B,10,74,"2,956,126",3,193
Greenland,7/1/00 0:00,The Americas,North America,,$1.07B,$19.0K,,,,66,"56,200",,194
Bermuda,7/1/00 0:00,The Americas,North America,,$3.48B,$56.0K,,,,78,"62,100",,195
Canada,7/1/00 0:00,The Americas,North America,3,$724.92B,$23.6K,9,$0.0B,7,79,"30,769,700",4,196
United States,7/1/00 0:00,The Americas,North America,,"$9,898.80B",$35.1K,13,$0.0B,9,77,"282,162,411",,197
Ecuador,7/1/00 0:00,The Americas,South America,9,$15.94B,$1.3K,4,$0.0B,17,73,"12,345,023",8,198
Guyana,7/1/00 0:00,The Americas,South America,9,$0.71B,$1.0K,5,$0.0B,17,64,"733,101",8,199
Peru,7/1/00 0:00,The Americas,South America,10,$53.29B,$2.1K,5,$0.0B,30,70,"25,861,887",20,200
Bolivia,7/1/00 0:00,The Americas,South America,11,$8.40B,$1.0K,6,$0.0B,35,63,"8,307,248",24,201
"Venezuela, RB",7/1/00 0:00,The Americas,South America,16,$117.15B,$4.8K,6,$0.0B,25,73,"24,311,000",9,202
Brazil,7/1/00 0:00,The Americas,South America,17,$644.70B,$3.7K,7,$0.0B,57,70,"174,425,387",40,203
Colombia,7/1/00 0:00,The Americas,South America,12,$100.36B,$2.5K,7,$0.0B,19,71,"39,764,166",7,204
Chile,7/1/00 0:00,The Americas,South America,9,$75.21B,$4.9K,7,$0.0B,15,77,"15,419,820",6,205
Suriname,7/1/00 0:00,The Americas,South America,15,$0.89B,$1.9K,8,$0.0B,29,68,"466,846",14,206
Paraguay,7/1/00 0:00,The Americas,South America,16,$7.07B,$1.3K,9,$0.0B,27,70,"5,343,539",11,207
Argentina,7/1/00 0:00,The Americas,South America,8,$284.20B,$7.7K,9,$0.0B,11,74,"36,930,709",3,208
Uruguay,7/1/00 0:00,The Americas,South America,18,$22.82B,$6.9K,11,$0.0B,46,75,"3,300,847",28,209
Somalia,7/1/01 0:00,Centro Oeste,Brasilia,,,,,,,49,"7,596,920",,210
Zimbabwe,7/1/01 0:00,Centro Oeste,Brasilia,14,$6.78B,$0.5K,0,$0.0B,38,44,"12,575,015",24,211
Comoros,7/1/01 0:00,Centro Oeste,Brasilia,3,$0.22B,$0.4K,2,$0.0B,12,58,"577,569",9,212
Rwanda,7/1/01 0:00,Centro Oeste,Brasilia,10,$1.67B,$0.2K,4,$0.0B,17,48,"8,456,968",7,213
Tanzania,7/1/01 0:00,Centro Oeste,Brasilia,5,$10.38B,$0.3K,4,$0.0B,20,51,"34,917,073",15,214
Kenya,7/1/01 0:00,Centro Oeste,Brasilia,7,$12.99B,$0.4K,4,$0.0B,20,52,"32,076,186",13,215
Madagascar,7/1/01 0:00,Centro Oeste,Brasilia,12,$4.53B,$0.3K,4,$0.0B,25,61,"15,846,412",13,216
Mauritius,7/1/01 0:00,Centro Oeste,Brasilia,10,$4.54B,$3.8K,4,$0.0B,21,72,"1,199,881",11,217
Seychelles,7/1/01 0:00,Centro Oeste,Brasilia,5,$0.62B,$7.7K,5,$0.0B,11,,"81,202",6,218
Malawi,7/1/01 0:00,Centro Oeste,Brasilia,35,$1.72B,$0.1K,5,$0.0B,56,46,"11,529,337",21,219
Ethiopia,7/1/01 0:00,Centro Oeste,Brasilia,6,$8.17B,$0.1K,5,$0.0B,11,52,"67,303,731",5,220
Djibouti,7/1/01 0:00,Centro Oeste,Brasilia,3,$0.57B,$0.8K,5,$0.0B,11,54,"749,604",8,221
Eritrea,7/1/01 0:00,Centro Oeste,Brasilia,,$0.69B,$0.2K,5,$0.0B,,57,"3,812,473",,222
Zambia,7/1/01 0:00,Centro Oeste,Brasilia,23,$3.64B,$0.3K,6,$0.0B,46,42,"10,449,825",23,223
Mozambique,7/1/01 0:00,Centro Oeste,Brasilia,15,$4.08B,$0.2K,6,$0.0B,23,47,"18,691,461",8,224
Burundi,7/1/01 0:00,Centro Oeste,Brasilia,,$0.82B,$0.1K,7,$0.0B,17,46,"6,499,653",,225
Uganda,7/1/01 0:00,Centro Oeste,Brasilia,8,$5.84B,$0.2K,7,$0.0B,23,47,"24,984,181",15,226
Equatorial Guinea,7/1/01 0:00,Centro Oeste,Middle Centro Oeste,5,$1.74B,$3.2K,2,$0.0B,21,49,"537,195",16,227
