Ethinicity,Region,Sex
White,North,Female
White,North,Female
White,North,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Black,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Asian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
Indian,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
White,West,Female
Black,South,Female
Black,South,Female
Black,South,Female
Black,South,Female
Black,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Asian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
Indian,South,Female
White,South,Female
White,South,Female
White,South,Female
White,South,Female
White,South,Female
Black,East,Female
Black,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Asian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
Indian,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
White,East,Female
